competition_id,juego,nombre,categoria,copa_portada,copa_fixture,participantes_defecto,tipo_defecto,estructura_defecto,formato_defecto,tamano_grupo,clasifican_grupo,vueltas_grupo,regla_partidos,descripcion,orden,activo,copa_portada_avif,copa_fixture_avif,copa_portada_file_id,copa_fixture_file_id,copa_portada_url,copa_fixture_url,copa_biblioteca
ef-official-serie-a,efootball,Serie A · eFootball,Liga,assets/cups/official/serie-a.png,assets/cups/official/serie-a.avif,20,oficial,league,Liga · 20 participantes · 19 jornadas · solo ida,4,2,1,SOLO_IDA,Veinte participantes disputan 19 jornadas a una sola vuelta; cada rival se enfrenta una sola vez y la clasificación final se determina por puntos.,23,SI,COMPARTIDAS/serie-a.avif,COMPARTIDAS/serie-a.avif,,,,,COMPARTIDAS
ef-official-liga-1-peru,efootball,Liga 1 Perú · eFootball,Liga,assets/cups/official/liga-1-peru.png,assets/cups/official/liga-1-peru.avif,18,oficial,league_playoffs,Liga · 18 participantes · 17 jornadas → Top 4 → Play-offs,4,2,1,SOLO_IDA,"Liga de 18 participantes a una sola vuelta: 17 jornadas, cada rival se enfrenta una sola vez y los cuatro mejores avanzan a los play-offs por el título.",24,SI,COMPARTIDAS/liga-1-peru.avif,COMPARTIDAS/liga-1-peru.avif,,,,,COMPARTIDAS
ef-official-copa-del-rey,efootball,Copa del Rey · eFootball,Copa,assets/cups/official/copa-del-rey.png,assets/cups/official/copa-del-rey.avif,64,oficial,copa_rey,64 participantes · eliminación directa a partido único → Final,4,2,1,SOLO_IDA,Sesenta y cuatro participantes en un cuadro de eliminación directa. Todas las rondas se disputan a partido único hasta la final.,25,SI,COMPARTIDAS/copa-del-rey.avif,COMPARTIDAS/copa-del-rey.avif,,,,,COMPARTIDAS
ef-official-dfb-pokal,efootball,Copa Alemana · DFB-Pokal · eFootball,Copa,assets/cups/official/dfb-pokal.png,assets/cups/official/dfb-pokal.avif,64,oficial,knockout,64 participantes · eliminación directa a partido único → Final,4,2,1,SOLO_IDA,Sesenta y cuatro participantes en eliminación directa a partido único desde la primera ronda hasta la final.,26,SI,COMPARTIDAS/dfb-pokal.avif,COMPARTIDAS/dfb-pokal.avif,,,,,COMPARTIDAS
fcm-comp-01,fc-mobile,FC Mobile Cup Pro,FC Mobile · Copa rápida,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-pro.png,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-pro.avif,8,relampago,knockout,Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,"Copa rápida de FC Mobile para ocho participantes, eliminación directa y partido único.",1,SI,FC-MOBILE/PORTADAS/fc-mobile-cup-pro.avif,FC-MOBILE/PORTADAS/fc-mobile-cup-pro.avif,,,,,FC-MOBILE
fcm-comp-02,fc-mobile,FC Mobile Cup Elite,FC Mobile · Copa rápida,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-elite.png,assets/cups/fc-mobile/exclusivas/fc-mobile-cup-elite.avif,16,relampago,knockout,Octavos → Cuartos → Semifinal → Final · partido único,4,2,1,SOLO_IDA,"Copa rápida de FC Mobile para dieciséis participantes, eliminación directa y partido único.",2,SI,FC-MOBILE/PORTADAS/fc-mobile-cup-elite.avif,FC-MOBILE/PORTADAS/fc-mobile-cup-elite.avif,,,,,FC-MOBILE
fcm-comp-07,fc-mobile,Liga GMAC,Liga,assets/cups/fc-mobile/portadas/gmac-7.png,assets/cups/fc-mobile/fixture/gmac-7-minimalista.avif,16,16,league,Liga · 15 jornadas · todos contra todos,4,2,1,SOLO_IDA,16 participantes en una liga todos contra todos. Cada jugador disputa 15 partidos y la tabla se ordena por puntos.,3,SI,FC-MOBILE/PORTADAS/gmac-7.avif,FC-MOBILE/FIXTURE/gmac-7-minimalista.avif,,,,,FC-MOBILE
fcm-comp-08,fc-mobile,Copa Grupos,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-8.png,assets/cups/fc-mobile/fixture/gmac-8-minimalista.avif,16,16,groups,4 grupos + eliminatorias,4,2,1,SOLO_IDA,Cuatro grupos de cuatro jugadores y una fase final para los mejores clasificados.,4,SI,FC-MOBILE/PORTADAS/gmac-8.avif,FC-MOBILE/FIXTURE/gmac-8-minimalista.avif,,,,,FC-MOBILE
fcm-comp-09,fc-mobile,GMAC Champions,Especial,assets/cups/fc-mobile/portadas/gmac-9.png,assets/cups/fc-mobile/fixture/gmac-9-minimalista.avif,32,32,groups,8 grupos de 4 → Octavos → Final,4,2,1,SOLO_IDA,Edición grande con fase inicial y rondas decisivas.,5,SI,FC-MOBILE/PORTADAS/gmac-9.avif,FC-MOBILE/FIXTURE/gmac-9-minimalista.avif,,,,,FC-MOBILE
fcm-comp-10,fc-mobile,Rookie Cup,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-10.png,assets/cups/fc-mobile/fixture/gmac-10-minimalista.avif,16,16,knockout,Eliminación directa,4,2,1,SOLO_IDA,Una copa pensada para jugadores nuevos en los torneos de GMAC.,6,SI,FC-MOBILE/PORTADAS/gmac-10.avif,FC-MOBILE/FIXTURE/gmac-10-minimalista.avif,,,,,FC-MOBILE
fcm-comp-11,fc-mobile,Masters FC Mobile,Especial,assets/cups/fc-mobile/portadas/gmac-11.png,assets/cups/fc-mobile/fixture/gmac-11-minimalista.avif,16,16,knockout,Eliminación directa,4,2,1,SOLO_IDA,Competencia de nivel alto para una edición con identidad más competitiva.,7,SI,FC-MOBILE/PORTADAS/gmac-11.avif,FC-MOBILE/FIXTURE/gmac-11-minimalista.avif,,,,,FC-MOBILE
fcm-comp-12,fc-mobile,Copa de Campeones,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-12.png,assets/cups/fc-mobile/fixture/gmac-12-minimalista.avif,8,8,knockout,Cuartos → Final,4,2,1,SOLO_IDA,"Reservada para campeones, finalistas o clasificados de ediciones anteriores.",8,SI,FC-MOBILE/PORTADAS/gmac-12.avif,FC-MOBILE/FIXTURE/gmac-12-minimalista.avif,,,,,FC-MOBILE
fcm-comp-13,fc-mobile,Last Chance,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-13.png,assets/cups/fc-mobile/fixture/gmac-13-minimalista.avif,16,16,knockout,Eliminación directa,4,2,1,SOLO_IDA,Una última oportunidad para clasificar a una edición mayor o final de temporada.,9,SI,FC-MOBILE/PORTADAS/gmac-13.avif,FC-MOBILE/FIXTURE/gmac-13-minimalista.avif,,,,,FC-MOBILE
fcm-comp-14,fc-mobile,Nocturno,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-14.png,assets/cups/fc-mobile/fixture/gmac-14-minimalista.avif,16,16,knockout,Eliminación directa,4,2,1,SOLO_IDA,"Cruces compactos en horario nocturno, ideal para una edición entre semana.",10,SI,FC-MOBILE/PORTADAS/gmac-14.avif,FC-MOBILE/FIXTURE/gmac-14-minimalista.avif,,,,,FC-MOBILE
fcm-comp-15,fc-mobile,Weekend Cup,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-15.png,assets/cups/fc-mobile/fixture/gmac-15-minimalista.avif,32,32,groups,8 grupos de 4 → Octavos → Final,4,2,1,SOLO_IDA,Ocho grupos de cuatro y fase eliminatoria para disputar por etapas durante un fin de semana.,11,SI,FC-MOBILE/PORTADAS/gmac-15.avif,FC-MOBILE/FIXTURE/gmac-15-minimalista.avif,,,,,FC-MOBILE
fcm-comp-16,fc-mobile,Noche de Revancha,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-16.png,assets/cups/fc-mobile/fixture/gmac-16-minimalista.avif,8,8,knockout,Cuartos → Final,4,2,1,SOLO_IDA,Una edición corta para volver a enfrentar rivales de torneos anteriores.,12,SI,FC-MOBILE/PORTADAS/gmac-16.avif,FC-MOBILE/FIXTURE/gmac-16-minimalista.avif,,,,,FC-MOBILE
fcm-comp-17,fc-mobile,Rey de GMAC,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-17.png,assets/cups/fc-mobile/fixture/gmac-17-minimalista.avif,16,16,knockout,Eliminación directa,4,2,1,SOLO_IDA,Un torneo temático de 16 jugadores para coronar al rey de la edición.,13,SI,FC-MOBILE/PORTADAS/gmac-17.avif,FC-MOBILE/FIXTURE/gmac-17-minimalista.avif,,,,,FC-MOBILE
fcm-comp-18,fc-mobile,Open FC Mobile,Competición FC Mobile,assets/cups/fc-mobile/portadas/gmac-18.png,assets/cups/fc-mobile/fixture/gmac-18-minimalista.avif,32,32,groups,8 grupos de 4 → Octavos → Final,4,2,1,SOLO_IDA,Open de 32 jugadores: ocho grupos de cuatro y eliminatorias para definir al campeón.,14,SI,FC-MOBILE/PORTADAS/gmac-18.avif,FC-MOBILE/FIXTURE/gmac-18-minimalista.avif,,,,,FC-MOBILE
fcm-official-copa-del-mundo,fc-mobile,Copa del Mundo · FC Mobile,Selecciones,assets/cups/official/copa-del-mundo.png,assets/cups/official/copa-del-mundo.avif,48,oficial,groups,12 grupos de 4 → 2 primeros + 8 mejores terceros → Ronda de 32 → Final,4,2,1,SOLO_IDA,"Formato mundial de 48 participantes: doce grupos de cuatro, avanzan los dos primeros de cada grupo y los ocho mejores terceros; desde la Ronda de 32 se juega eliminación directa.",15,SI,COMPARTIDAS/copa-del-mundo.avif,COMPARTIDAS/copa-del-mundo.avif,,,,,COMPARTIDAS
fcm-official-uefa-champions-league,fc-mobile,UEFA Champions League · FC Mobile,Clubes,assets/cups/official/uefa-champions-league.png,assets/cups/official/uefa-champions-league.avif,36,oficial,league_phase,Fase liga de 36 · 8 partidos c/u → Top 8 a octavos · 9.º–24.º play-off → Final,4,2,1,SOLO_IDA,Formato de fase liga: 36 participantes disputan ocho partidos ante rivales distintos; los ocho primeros avanzan a octavos y del 9.º al 24.º juegan un play-off previo.,16,SI,COMPARTIDAS/uefa-champions-league.avif,COMPARTIDAS/uefa-champions-league.avif,,,,,COMPARTIDAS
fcm-official-copa-libertadores,fc-mobile,Copa Libertadores · FC Mobile,Clubes,assets/cups/official/copa-libertadores.png,assets/cups/official/copa-libertadores.avif,32,oficial,groups,8 grupos de 4 · solo ida → Octavos → Final,4,2,1,SOLO_IDA,"Treinta y dos participantes en ocho grupos de cuatro, con un solo partido contra cada rival del grupo. Los dos primeros avanzan a octavos y continúan por eliminatorias a partido único.",17,SI,COMPARTIDAS/copa-libertadores.avif,COMPARTIDAS/copa-libertadores.avif,,,,,COMPARTIDAS
fcm-official-eurocopa,fc-mobile,Eurocopa · FC Mobile,Selecciones,assets/cups/official/eurocopa.png,assets/cups/official/eurocopa.avif,24,oficial,groups,6 grupos de 4 → 2 primeros + 4 mejores terceros → Octavos → Final,4,2,1,SOLO_IDA,Veinticuatro participantes en seis grupos de cuatro; avanzan los dos primeros de cada grupo y los cuatro mejores terceros a octavos de final.,18,SI,COMPARTIDAS/eurocopa.avif,COMPARTIDAS/eurocopa.avif,,,,,COMPARTIDAS
fcm-official-copa-america,fc-mobile,Copa América · FC Mobile,Selecciones,assets/cups/official/copa-america.png,assets/cups/official/copa-america.avif,16,oficial,groups,4 grupos de 4 → Cuartos → Semifinal → Final,4,2,1,SOLO_IDA,Dieciséis participantes repartidos en cuatro grupos de cuatro. Los dos primeros de cada grupo avanzan a cuartos de final.,19,SI,COMPARTIDAS/copa-america.avif,COMPARTIDAS/copa-america.avif,,,,,COMPARTIDAS
fcm-official-mundial-de-clubes,fc-mobile,Mundial de Clubes de la FIFA · FC Mobile,Clubes,assets/cups/official/mundial-de-clubes.png,assets/cups/official/mundial-de-clubes.avif,32,oficial,groups,8 grupos de 4 → Octavos → Cuartos → Semifinal → Final,4,2,1,SOLO_IDA,Treinta y dos clubes en ocho grupos de cuatro a una sola vuelta. Los dos mejores de cada grupo avanzan a octavos y desde allí se juega a eliminación directa.,20,SI,COMPARTIDAS/mundial-de-clubes.avif,COMPARTIDAS/mundial-de-clubes.avif,,,,,COMPARTIDAS
fcm-official-premier-league,fc-mobile,Premier League · FC Mobile,Liga,assets/cups/official/premier-league.png,assets/cups/official/premier-league.avif,20,oficial,league,Liga · 20 participantes · 19 jornadas · solo ida,4,2,1,SOLO_IDA,Liga de veinte participantes a una sola vuelta. Cada participante disputa 19 partidos y el campeón se define por la tabla de puntos.,21,SI,COMPARTIDAS/premier-league.avif,COMPARTIDAS/premier-league.avif,,,,,COMPARTIDAS
fcm-official-laliga,fc-mobile,LaLiga · FC Mobile,Liga,assets/cups/official/laliga.png,assets/cups/official/laliga.avif,20,oficial,league,Liga · 20 participantes · 19 jornadas · solo ida,4,2,1,SOLO_IDA,Veinte participantes compiten en una sola vuelta durante 19 jornadas. Cada rival se enfrenta una sola vez y el primer lugar se corona campeón.,22,SI,COMPARTIDAS/laliga.avif,COMPARTIDAS/laliga.avif,,,,,COMPARTIDAS
fcm-official-bundesliga,fc-mobile,Bundesliga · FC Mobile,Liga,assets/cups/official/bundesliga.png,assets/cups/official/bundesliga.avif,18,oficial,league,Liga · 18 participantes · 17 jornadas · solo ida,4,2,1,SOLO_IDA,"Dieciocho participantes a una sola vuelta, con 17 jornadas y clasificación por puntos. Cada rival se enfrenta una sola vez.",23,SI,COMPARTIDAS/bundesliga.avif,COMPARTIDAS/bundesliga.avif,,,,,COMPARTIDAS
fcm-official-serie-a,fc-mobile,Serie A · FC Mobile,Liga,assets/cups/official/serie-a.png,assets/cups/official/serie-a.avif,20,oficial,league,Liga · 20 participantes · 19 jornadas · solo ida,4,2,1,SOLO_IDA,Veinte participantes disputan 19 jornadas a una sola vuelta; cada rival se enfrenta una sola vez y la clasificación final se determina por puntos.,24,SI,COMPARTIDAS/serie-a.avif,COMPARTIDAS/serie-a.avif,,,,,COMPARTIDAS
fcm-official-liga-1-peru,fc-mobile,Liga 1 Perú · FC Mobile,Liga,assets/cups/official/liga-1-peru.png,assets/cups/official/liga-1-peru.avif,18,oficial,league_playoffs,Liga · 18 participantes · 17 jornadas → Top 4 → Play-offs,4,2,1,SOLO_IDA,"Liga de 18 participantes a una sola vuelta: 17 jornadas, cada rival se enfrenta una sola vez y los cuatro mejores avanzan a los play-offs por el título.",25,SI,COMPARTIDAS/liga-1-peru.avif,COMPARTIDAS/liga-1-peru.avif,,,,,COMPARTIDAS
fcm-official-copa-del-rey,fc-mobile,Copa del Rey · FC Mobile,Copa,assets/cups/official/copa-del-rey.png,assets/cups/official/copa-del-rey.avif,64,oficial,copa_rey,64 participantes · eliminación directa a partido único → Final,4,2,1,SOLO_IDA,Sesenta y cuatro participantes en un cuadro de eliminación directa. Todas las rondas se disputan a partido único hasta la final.,26,SI,COMPARTIDAS/copa-del-rey.avif,COMPARTIDAS/copa-del-rey.avif,,,,,COMPARTIDAS
fcm-official-dfb-pokal,fc-mobile,Copa Alemana · DFB-Pokal · FC Mobile,Copa,assets/cups/official/dfb-pokal.png,assets/cups/official/dfb-pokal.avif,64,oficial,knockout,64 participantes · eliminación directa a partido único → Final,4,2,1,SOLO_IDA,Sesenta y cuatro participantes en eliminación directa a partido único desde la primera ronda hasta la final.,27,SI,COMPARTIDAS/dfb-pokal.avif,COMPARTIDAS/dfb-pokal.avif,,,,,COMPARTIDAS
