id,competition_id,edicion,juego,titulo,tipo,cupos,fecha,hora,formato,estructura,tamano_grupo,clasifican_grupo,vueltas_grupo,copa_portada,copa_fixture,premio_1,premio_2,inscripcion,estado,inscripciones_estado,ganador,segundo_lugar,foto_ganador,instagram_ganador,fecha_finalizacion,descripcion,destacado,activo,creado_en,copa_portada_file_id,copa_fixture_file_id,copa_portada_url,copa_fixture_url
fcm-copa-libertadores,fcm-official-copa-libertadores,1,fc-mobile,Copa Libertadores · FC Mobile,oficial,32,Por definir,Por definir,8 grupos de 4 · solo ida → Octavos → Final,groups,4,2,1,assets/cups/official/copa-libertadores.png,assets/cups/official/copa-libertadores.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Treinta y dos participantes en ocho grupos de cuatro, con un solo partido contra cada rival del grupo. Los dos primeros avanzan a octavos y continúan por eliminatorias a partido único.",NO,SI,,,,,
fcm-eurocopa,fcm-official-eurocopa,1,fc-mobile,Eurocopa · FC Mobile,oficial,24,Por definir,Por definir,6 grupos de 4 → 2 primeros + 4 mejores terceros → Octavos → Final,groups,4,2,1,assets/cups/official/eurocopa.png,assets/cups/official/eurocopa.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Veinticuatro participantes en seis grupos de cuatro; avanzan los dos primeros de cada grupo y los cuatro mejores terceros a octavos de final.,NO,SI,,,,,
fcm-copa-america,fcm-official-copa-america,1,fc-mobile,Copa América · FC Mobile,oficial,16,Por definir,Por definir,4 grupos de 4 → Cuartos → Semifinal → Final,groups,4,2,1,assets/cups/official/copa-america.png,assets/cups/official/copa-america.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Dieciséis participantes repartidos en cuatro grupos de cuatro. Los dos primeros de cada grupo avanzan a cuartos de final.,NO,SI,,,,,
fcm-mundial-de-clubes,fcm-official-mundial-de-clubes,1,fc-mobile,Mundial de Clubes de la FIFA · FC Mobile,oficial,32,Por definir,Por definir,8 grupos de 4 → Octavos → Cuartos → Semifinal → Final,groups,4,2,1,assets/cups/official/mundial-de-clubes.png,assets/cups/official/mundial-de-clubes.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Treinta y dos clubes en ocho grupos de cuatro a una sola vuelta. Los dos mejores de cada grupo avanzan a octavos y desde allí se juega a eliminación directa.,NO,SI,,,,,
fcm-premier-league,fcm-official-premier-league,1,fc-mobile,Premier League · FC Mobile,oficial,20,Por definir,Por definir,Liga · 20 participantes · 19 jornadas · solo ida,league,4,2,1,assets/cups/official/premier-league.png,assets/cups/official/premier-league.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Liga de veinte participantes a una sola vuelta. Cada participante disputa 19 partidos y el campeón se define por la tabla de puntos.,NO,SI,,,,,
fcm-laliga,fcm-official-laliga,1,fc-mobile,LaLiga · FC Mobile,oficial,20,Por definir,Por definir,Liga · 20 participantes · 19 jornadas · solo ida,league,4,2,1,assets/cups/official/laliga.png,assets/cups/official/laliga.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Veinte participantes compiten en una sola vuelta durante 19 jornadas. Cada rival se enfrenta una sola vez y el primer lugar se corona campeón.,NO,SI,,,,,
fcm-bundesliga,fcm-official-bundesliga,1,fc-mobile,Bundesliga · FC Mobile,oficial,18,Por definir,Por definir,Liga · 18 participantes · 17 jornadas · solo ida,league,4,2,1,assets/cups/official/bundesliga.png,assets/cups/official/bundesliga.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Dieciocho participantes a una sola vuelta, con 17 jornadas y clasificación por puntos. Cada rival se enfrenta una sola vez.",NO,SI,,,,,
fcm-serie-a,fcm-official-serie-a,1,fc-mobile,Serie A · FC Mobile,oficial,20,Por definir,Por definir,Liga · 20 participantes · 19 jornadas · solo ida,league,4,2,1,assets/cups/official/serie-a.png,assets/cups/official/serie-a.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Veinte participantes disputan 19 jornadas a una sola vuelta; cada rival se enfrenta una sola vez y la clasificación final se determina por puntos.,NO,SI,,,,,
fcm-liga-1-peru,fcm-official-liga-1-peru,1,fc-mobile,Liga 1 Perú · FC Mobile,oficial,18,Por definir,Por definir,Liga · 18 participantes · 17 jornadas → Top 4 → Play-offs,league_playoffs,4,2,1,assets/cups/official/liga-1-peru.png,assets/cups/official/liga-1-peru.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Liga de 18 participantes a una sola vuelta: 17 jornadas, cada rival se enfrenta una sola vez y los cuatro mejores avanzan a los play-offs por el título.",NO,SI,,,,,
fcm-copa-del-rey,fcm-official-copa-del-rey,1,fc-mobile,Copa del Rey · FC Mobile,oficial,64,Por definir,Por definir,64 participantes · eliminación directa a partido único → Final,copa_rey,4,2,1,assets/cups/official/copa-del-rey.png,assets/cups/official/copa-del-rey.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Sesenta y cuatro participantes en un cuadro de eliminación directa. Todas las rondas se disputan a partido único hasta la final.,NO,SI,,,,,
fcm-dfb-pokal,fcm-official-dfb-pokal,1,fc-mobile,Copa Alemana · DFB-Pokal · FC Mobile,oficial,64,Por definir,Por definir,64 participantes · eliminación directa a partido único → Final,knockout,4,2,1,assets/cups/official/dfb-pokal.png,assets/cups/official/dfb-pokal.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Sesenta y cuatro participantes en eliminación directa a partido único desde la primera ronda hasta la final.,NO,SI,,,,,
ef-championship-64,ef-comp-01,1,efootball,GMAC Championship,64,64,Por definir,Por definir,16 grupos de 4 → Ronda de 32 → Final,groups,4,2,1,assets/cups/efootball/portadas/oficial-1.png,assets/cups/efootball/fixture/oficial-1-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"La máxima competición de eFootball de GMAC: 64 participantes, 16 grupos de cuatro y una fase eliminatoria de 32 clasificados.",NO,SI,,,,,
ef-major-32,ef-comp-02,1,efootball,GMAC Major,32,32,Por definir,Por definir,8 grupos de 4 → Octavos → Final,groups,4,2,1,assets/cups/efootball/portadas/oficial-2.png,assets/cups/efootball/fixture/oficial-2-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Un torneo de élite con 32 jugadores: ocho grupos de cuatro, dos clasificados por grupo y eliminatorias desde octavos.",NO,SI,,,,,
ef-champions-32,ef-comp-03,1,efootball,GMAC Champions,32,32,Por definir,Por definir,8 grupos de 4 → Octavos → Final,groups,4,2,1,assets/cups/efootball/portadas/oficial-3.png,assets/cups/efootball/fixture/oficial-3-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Una edición grande con 32 participantes, fase de grupos y rondas decisivas hasta coronar al campeón.",NO,SI,,,,,
ef-liga-16,ef-comp-04,1,efootball,Liga GMAC,16,16,Por definir,Por definir,Liga · 15 jornadas · todos contra todos,league,,,1,assets/cups/efootball/portadas/oficial-4.png,assets/cups/efootball/fixture/oficial-4-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Dieciséis jugadores se enfrentan todos contra todos. La tabla se define por puntos tras 15 jornadas por participante.,NO,SI,,,,,
ef-masters-16,ef-comp-05,1,efootball,Masters eFootball,16,16,Por definir,Por definir,Octavos → Cuartos → Semifinal → Final,knockout,,,1,assets/cups/efootball/portadas/oficial-5.png,assets/cups/efootball/fixture/oficial-5-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Copa de nivel alto para 16 participantes con eliminación directa hasta la gran final.,NO,SI,,,,,
ef-supercopa-8,ef-comp-06,1,efootball,Supercopa eFootball,8,8,Por definir,Por definir,Cuartos → Semifinal → Final,knockout,,,1,assets/cups/efootball/portadas/oficial-6.png,assets/cups/efootball/fixture/oficial-6-minimalista.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Una supercopa compacta de ocho jugadores, ideal para campeones, invitados o una edición premium.",NO,SI,,,,,
ef-relampago-pro-8,ef-relampago-pro,1,efootball,eFootball Pro Cup,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/pro-cup.png,assets/cups/efootball/relampagos-oficiales/pro-cup.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Serie Pro oficial de eFootball para ocho participantes.,SI,SI,,,,,
ef-relampago-evolution-8,ef-relampago-evolution,1,efootball,eFootball Evolution Cup,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/evolution-cup.png,assets/cups/efootball/relampagos-oficiales/evolution-cup.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Relámpago oficial de ocho jugadores inspirado en la evolución competitiva de eFootball.,NO,SI,,,,,
ef-relampago-elite-8,ef-relampago-elite,1,efootball,eFootball Elite Cup,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/elite-cup.png,assets/cups/efootball/relampagos-oficiales/elite-cup.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Copa Elite oficial de eFootball para ocho participantes y eliminación directa.,NO,SI,,,,,
ef-relampago-crystal-8,ef-relampago-crystal,1,efootball,eFootball Crystal Cup,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/crystal-cup.png,assets/cups/efootball/relampagos-oficiales/crystal-cup.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Edición Crystal oficial de eFootball, compacta y a partido único.",NO,SI,,,,,
ef-relampago-champions-8,ef-relampago-champions,1,efootball,eFootball Champions Cup,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/champions-cup.png,assets/cups/efootball/relampagos-oficiales/champions-cup.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Relámpago Champions oficial de eFootball reservado para ocho jugadores.,SI,SI,,,,,
ef-relampago-impact-8,ef-relampago-impact,1,efootball,eFootball Impact Cup,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/impact-cup.png,assets/cups/efootball/relampagos-oficiales/impact-cup.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Copa Impact oficial de eFootball para una llave rápida de ocho participantes.,NO,SI,,,,,
ef-relampago-bruno-fernandes-8,ef-relampago-bruno-fernandes,1,efootball,Cup Bruno Fernandes,relampago,8,Por definir,Por definir,Cuartos → Semifinal → Final · partido único,knockout,,,1,assets/cups/efootball/relampagos-oficiales/cup-bruno-fernandes.png,assets/cups/efootball/relampagos-oficiales/cup-bruno-fernandes.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Relámpago oficial Cup Bruno Fernandes de eFootball para ocho participantes.,NO,SI,,,,,
ef-copa-del-mundo,ef-official-copa-del-mundo,1,efootball,Copa del Mundo · eFootball,oficial,48,Por definir,Por definir,12 grupos de 4 → 2 primeros + 8 mejores terceros → Ronda de 32 → Final,groups,4,2,1,assets/cups/official/copa-del-mundo.png,assets/cups/official/copa-del-mundo.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Formato mundial de 48 participantes: doce grupos de cuatro, avanzan los dos primeros de cada grupo y los ocho mejores terceros; desde la Ronda de 32 se juega eliminación directa.",NO,SI,,,,,
ef-uefa-champions-league,ef-official-uefa-champions-league,1,efootball,UEFA Champions League · eFootball,oficial,36,Por definir,Por definir,Fase liga de 36 · 8 partidos c/u → Top 8 a octavos · 9.º–24.º play-off → Final,league_phase,4,2,1,assets/cups/official/uefa-champions-league.png,assets/cups/official/uefa-champions-league.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Formato de fase liga: 36 participantes disputan ocho partidos ante rivales distintos; los ocho primeros avanzan a octavos y del 9.º al 24.º juegan un play-off previo.,NO,SI,,,,,
ef-copa-libertadores,ef-official-copa-libertadores,1,efootball,Copa Libertadores · eFootball,oficial,32,Por definir,Por definir,8 grupos de 4 · solo ida → Octavos → Final,groups,4,2,1,assets/cups/official/copa-libertadores.png,assets/cups/official/copa-libertadores.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Treinta y dos participantes en ocho grupos de cuatro, con un solo partido contra cada rival del grupo. Los dos primeros avanzan a octavos y continúan por eliminatorias a partido único.",NO,SI,,,,,
ef-eurocopa,ef-official-eurocopa,1,efootball,Eurocopa · eFootball,oficial,24,Por definir,Por definir,6 grupos de 4 → 2 primeros + 4 mejores terceros → Octavos → Final,groups,4,2,1,assets/cups/official/eurocopa.png,assets/cups/official/eurocopa.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Veinticuatro participantes en seis grupos de cuatro; avanzan los dos primeros de cada grupo y los cuatro mejores terceros a octavos de final.,NO,SI,,,,,
ef-copa-america,ef-official-copa-america,1,efootball,Copa América · eFootball,oficial,16,Por definir,Por definir,4 grupos de 4 → Cuartos → Semifinal → Final,groups,4,2,1,assets/cups/official/copa-america.png,assets/cups/official/copa-america.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Dieciséis participantes repartidos en cuatro grupos de cuatro. Los dos primeros de cada grupo avanzan a cuartos de final.,NO,SI,,,,,
ef-mundial-de-clubes,ef-official-mundial-de-clubes,1,efootball,Mundial de Clubes de la FIFA · eFootball,oficial,32,Por definir,Por definir,8 grupos de 4 → Octavos → Cuartos → Semifinal → Final,groups,4,2,1,assets/cups/official/mundial-de-clubes.png,assets/cups/official/mundial-de-clubes.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Treinta y dos clubes en ocho grupos de cuatro a una sola vuelta. Los dos mejores de cada grupo avanzan a octavos y desde allí se juega a eliminación directa.,NO,SI,,,,,
ef-premier-league,ef-official-premier-league,1,efootball,Premier League · eFootball,oficial,20,Por definir,Por definir,Liga · 20 participantes · 19 jornadas · solo ida,league,4,2,1,assets/cups/official/premier-league.png,assets/cups/official/premier-league.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Liga de veinte participantes a una sola vuelta. Cada participante disputa 19 partidos y el campeón se define por la tabla de puntos.,NO,SI,,,,,
ef-laliga,ef-official-laliga,1,efootball,LaLiga · eFootball,oficial,20,Por definir,Por definir,Liga · 20 participantes · 19 jornadas · solo ida,league,4,2,1,assets/cups/official/laliga.png,assets/cups/official/laliga.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Veinte participantes compiten en una sola vuelta durante 19 jornadas. Cada rival se enfrenta una sola vez y el primer lugar se corona campeón.,NO,SI,,,,,
ef-bundesliga,ef-official-bundesliga,1,efootball,Bundesliga · eFootball,oficial,18,Por definir,Por definir,Liga · 18 participantes · 17 jornadas · solo ida,league,4,2,1,assets/cups/official/bundesliga.png,assets/cups/official/bundesliga.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Dieciocho participantes a una sola vuelta, con 17 jornadas y clasificación por puntos. Cada rival se enfrenta una sola vez.",NO,SI,,,,,
ef-serie-a,ef-official-serie-a,1,efootball,Serie A · eFootball,oficial,20,Por definir,Por definir,Liga · 20 participantes · 19 jornadas · solo ida,league,4,2,1,assets/cups/official/serie-a.png,assets/cups/official/serie-a.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Veinte participantes disputan 19 jornadas a una sola vuelta; cada rival se enfrenta una sola vez y la clasificación final se determina por puntos.,NO,SI,,,,,
ef-liga-1-peru,ef-official-liga-1-peru,1,efootball,Liga 1 Perú · eFootball,oficial,18,Por definir,Por definir,Liga · 18 participantes · 17 jornadas → Top 4 → Play-offs,league_playoffs,4,2,1,assets/cups/official/liga-1-peru.png,assets/cups/official/liga-1-peru.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,"Liga de 18 participantes a una sola vuelta: 17 jornadas, cada rival se enfrenta una sola vez y los cuatro mejores avanzan a los play-offs por el título.",NO,SI,,,,,
ef-copa-del-rey,ef-official-copa-del-rey,1,efootball,Copa del Rey · eFootball,oficial,64,Por definir,Por definir,64 participantes · eliminación directa a partido único → Final,copa_rey,4,2,1,assets/cups/official/copa-del-rey.png,assets/cups/official/copa-del-rey.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Sesenta y cuatro participantes en un cuadro de eliminación directa. Todas las rondas se disputan a partido único hasta la final.,NO,SI,,,,,
ef-dfb-pokal,ef-official-dfb-pokal,1,efootball,Copa Alemana · DFB-Pokal · eFootball,oficial,64,Por definir,Por definir,64 participantes · eliminación directa a partido único → Final,knockout,4,2,1,assets/cups/official/dfb-pokal.png,assets/cups/official/dfb-pokal.png,Por anunciar,Por anunciar,Por anunciar,PROXIMAMENTE,CERRADAS,,,,,,Sesenta y cuatro participantes en eliminación directa a partido único desde la primera ronda hasta la final.,NO,SI,,,,,
